Area,Bedrooms,Bathrooms,Age,Price
60,2,1,20,85000
65,2,1,18,90000
70,2,1,15,95000
75,2,2,14,105000
80,3,2,12,120000
85,3,2,10,128000
90,3,2,8,135000
95,3,2,7,142000
100,3,2,5,150000
110,4,3,5,170000
120,4,3,4,185000
130,4,3,3,200000
140,5,3,2,220000
150,5,4,2,240000
160,5,4,1,260000
170,6,4,1,280000
180,6,5,1,300000
190,6,5,1,320000
200,7,5,1,340000
210,7,5,1,360000
68,2,1,16,93000
78,3,2,13,115000
88,3,2,9,132000
98,3,2,6,147000
108,4,3,5,168000
118,4,3,4,182000
128,4,3,3,198000
138,5,3,2,218000
148,5,4,2,238000
158,5,4,1,258000
